key,zh_CN
<!MissingKey:……那个人，>,"……那个人，
是我们之前遇到过一次的那个？
太好了，看来她平安无事呢。"
<!MissingKey:……>,"……
唉，还有一件事——
关于莉维娜的下落……"
<!MissingKey:言尽于此，诺兹，我该走了。>,"言尽于此，诺兹，我该走了。
……
不论结果如何，这将会是我最后一次帮你。"
<!MissingKey:唔……好吵，>,"唔……好吵，
是有人在说话吗？"
<!MissingKey:……>,……
<!MissingKey:你们束手无策。>,"你们束手无策。
杉还是会被阿瑞丝捉走。
……"
<!MissingKey:……>,……
<!MissingKey:她不可能理解我的决定，>,"她不可能理解我的决定，
甚至会一蹶不振。
……"
<!MissingKey:……>,"……
你在期望什么？塞泽尔死了。
……"
<!MissingKey:……>,"……
洛菲亚，告诉我后来发生了什么，
……"
<!MissingKey:……！>,"……！
你说的都是真的？"
<!MissingKey:……>,……
<!MissingKey:这下你不得不全部告诉她了，>,"这下你不得不全部告诉她了，
迟早的事。"
<!MissingKey:……>,"……
没什么，
有个好心人给我们指了下路而已。"
<!MissingKey:……>,"……
你想瞒到什么时候？"
<!MissingKey:……>,"……
我是为了防止玩家被软禁才出面帮你。"
<!MissingKey:如果你只是为了嘲讽我而来，>,"如果你只是为了嘲讽我而来，
请你离开吧，趁杉还没醒。
……"
<!MissingKey:阿瑞丝不是你们一次就能击败的对手。>,"阿瑞丝不是你们一次就能击败的对手。
……"
<!MissingKey:这一次你让塞泽尔挡住了，>,"这一次你让塞泽尔挡住了，
下一次呢？"
<!MissingKey:……>,"……
不，抱歉，
我不该这么说的。"
<!MissingKey:……>,"……
就算我全盘托出也不会有任何好处。"
